project,config,erroneous_value
alluxio,alluxio.web.refresh.interval,-100
alluxio,alluxio.web.refresh.interval,0.05
alluxio,alluxio.web.refresh.interval,ABC
alluxio,alluxio.zookeeper.job.leader.path,-100
alluxio,alluxio.zookeeper.job.leader.path,0.05
alluxio,alluxio.zookeeper.job.leader.path,ABC
alluxio,alluxio.master.audit.logging.enabled,-100
alluxio,alluxio.master.audit.logging.enabled,0.05
alluxio,alluxio.master.audit.logging.enabled,ABC
alluxio,alluxio.master.embedded.journal.election.timeout,-100
alluxio,alluxio.master.embedded.journal.election.timeout,2147483648
alluxio,alluxio.master.embedded.journal.election.timeout,ABC
alluxio,alluxio.master.embedded.journal.storage.level,123
alluxio,alluxio.master.embedded.journal.storage.level,ABC
alluxio,alluxio.master.embedded.journal.storage.level,HHH
alluxio,alluxio.master.journal.checkpoint.period.entries,-100
alluxio,alluxio.master.journal.checkpoint.period.entries,0.05
alluxio,alluxio.master.journal.checkpoint.period.entries,9223372036854775808
alluxio,alluxio.master.journal.retry.interval,-100
alluxio,alluxio.master.journal.retry.interval,0.05
alluxio,alluxio.master.journal.retry.interval,ABC
alluxio,alluxio.master.journal.tailer.shutdown.quiet.wait.time,-100
alluxio,alluxio.master.journal.tailer.shutdown.quiet.wait.time,0.05
alluxio,alluxio.master.journal.tailer.shutdown.quiet.wait.time,ABC
alluxio,alluxio.master.jvm.monitor.enabled,-100
alluxio,alluxio.master.jvm.monitor.enabled,0.05
alluxio,alluxio.master.jvm.monitor.enabled,ABC
alluxio,alluxio.master.metastore.inode.cache.max.size,-100
alluxio,alluxio.master.metastore.inode.cache.max.size,2147483648
alluxio,alluxio.master.metastore.inode.cache.max.size,ABC
alluxio,alluxio.master.periodic.block.integrity.check.interval,-100
alluxio,alluxio.master.periodic.block.integrity.check.interval,0.05
alluxio,alluxio.master.periodic.block.integrity.check.interval,ABC
alluxio,alluxio.master.rpc.executor.keepalive,-100
alluxio,alluxio.master.rpc.executor.keepalive,0.05
alluxio,alluxio.master.rpc.executor.keepalive,ABC
alluxio,alluxio.master.rpc.executor.max.pool.size,-100
alluxio,alluxio.master.rpc.executor.max.pool.size,2147483648
