project,config,erroneous_value
hadoop,ha.failover-controller.new-active.rpc-timeout.ms,-8
hadoop,ha.failover-controller.new-active.rpc-timeout.ms,0
hadoop,ha.failover-controller.new-active.rpc-timeout.ms,HHH
hadoop,ha.health-monitor.rpc-timeout.ms,-45000
hadoop,ha.health-monitor.rpc-timeout.ms,2000000000
hadoop,ha.health-monitor.rpc-timeout.ms,45000.5
hadoop,io.mapfile.bloom.error.rate,-1
hadoop,io.mapfile.bloom.error.rate,0
hadoop,io.mapfile.bloom.error.rate,1
hadoop,fs.permissions.umask-mode,202
hadoop,fs.permissions.umask-mode,420
hadoop,fs.permissions.umask-mode,888
hadoop,io.map.index.interval,-12
hadoop,io.map.index.interval,0
hadoop,io.map.index.interval,0.4
hadoop,ipc.maximum.response.length,-1
hadoop,ipc.maximum.response.length,0.5
hadoop,ipc.maximum.response.length,ABC
hadoop,io.bytes.per.checksum,-1
hadoop,io.bytes.per.checksum,0.5
hadoop,io.bytes.per.checksum,ABC
hadoop,tfile.fs.input.buffer.size,-262144
hadoop,tfile.fs.input.buffer.size,262144.5
hadoop,tfile.fs.input.buffer.size,ABC
hadoop,hadoop.security.java.secure.random.algorithm,0.8
hadoop,hadoop.security.java.secure.random.algorithm,123
hadoop,hadoop.security.java.secure.random.algorithm,world
hadoop,tfile.fs.output.buffer.size,-100
hadoop,tfile.fs.output.buffer.size,0.345
hadoop,tfile.fs.output.buffer.size,LOL
hadoop,hadoop.security.crypto.jce.provider,-100
hadoop,hadoop.security.crypto.jce.provider,ABC
hadoop,hadoop.security.crypto.jce.provider,sun.security.jgss.SunProvider
hadoop,hadoop.ssl.keystores.factory.class,-1.1.1.1
hadoop,hadoop.ssl.keystores.factory.class,1234
hadoop,hadoop.ssl.keystores.factory.class,hello
hadoop,fs.defaultFS,
hadoop,fs.defaultFS,file:/
hadoop,fs.defaultFS,file:///10000
hadoop,hadoop.security.dns.log-slow-lookups.threshold.ms,-34
hadoop,hadoop.security.dns.log-slow-lookups.threshold.ms,0.008
hadoop,hadoop.security.dns.log-slow-lookups.threshold.ms,123asd
hadoop,hadoop.ssl.server.conf,123
hadoop,hadoop.ssl.server.conf,core-site.xml
hadoop,hadoop.ssl.server.conf,notexist
hadoop,io.seqfile.compress.blocksize,-1000000
hadoop,io.seqfile.compress.blocksize,1000000.5
hadoop,io.seqfile.compress.blocksize,ABC
hadoop,hadoop.user.group.static.mapping.overrides,100
hadoop,hadoop.user.group.static.mapping.overrides,"a=b,=d;"
hadoop,hadoop.user.group.static.mapping.overrides,"a=b,c=d;"
hadoop,io.file.buffer.size,-4096
hadoop,io.file.buffer.size,1
hadoop,io.file.buffer.size,4090
hadoop,hadoop.rpc.protection,","
hadoop,hadoop.rpc.protection,"authentication,hello"
hadoop,hadoop.rpc.protection,hello
hadoop,hadoop.kerberos.min.seconds.before.relogin,-60
hadoop,hadoop.kerberos.min.seconds.before.relogin,2000000000
hadoop,hadoop.kerberos.min.seconds.before.relogin,60.5
hadoop,ha.failover-controller.graceful-fence.connection.retries,-1
hadoop,ha.failover-controller.graceful-fence.connection.retries,0.5
hadoop,ha.failover-controller.graceful-fence.connection.retries,ABC
hadoop,ipc.client.connection.maxidletime,-10000
hadoop,ipc.client.connection.maxidletime,10000.5
hadoop,ipc.client.connection.maxidletime,ABC
hadoop,hadoop.ssl.enabled.protocols,123
hadoop,hadoop.ssl.enabled.protocols,http
hadoop,hadoop.ssl.enabled.protocols,sxd
hadoop,hadoop.security.groups.cache.secs,-300
hadoop,hadoop.security.groups.cache.secs,300.5
hadoop,hadoop.security.groups.cache.secs,ABC
hadoop,ipc.client.rpc-timeout.ms,-6000
hadoop,ipc.client.rpc-timeout.ms,600000.5
hadoop,ipc.client.rpc-timeout.ms,600000000
hadoop,hadoop.kerberos.kinit.command,-9.987
hadoop,hadoop.kerberos.kinit.command,12345
hadoop,hadoop.kerberos.kinit.command,qwert
hadoop,hadoop.ssl.client.conf,TRUE
hadoop,hadoop.ssl.client.conf,bogus
hadoop,hadoop.ssl.client.conf,invalid-file.xml
hadoop,file.stream-buffer-size,-1
hadoop,file.stream-buffer-size,0.5
hadoop,file.stream-buffer-size,ABC
hadoop,hadoop.security.uid.cache.secs,-1
hadoop,hadoop.security.uid.cache.secs,0.5
hadoop,hadoop.security.uid.cache.secs,ABC
hadoop,io.seqfile.local.dir,-100
hadoop,io.seqfile.local.dir,0.05
hadoop,io.seqfile.local.dir,ABC
hadoop,net.topology.table.file.name,/myfile
hadoop,net.topology.table.file.name,0.05^*^*
hadoop,fs.ftp.host,256.789.1.15
hadoop,fs.ftp.host,TRUE
hadoop,fs.ftp.host,bogus
hadoop,hadoop.security.crypto.buffer.size,0
hadoop,hadoop.security.crypto.buffer.size,0.5
hadoop,hadoop.security.crypto.buffer.size,ABC
hadoop,ipc.maximum.data.length,0
hadoop,ipc.maximum.data.length,671088640
hadoop,ipc.maximum.data.length,6710886400
hadoop,hadoop.security.kms.client.encrypted.key.cache.expiry,-123
hadoop,hadoop.security.kms.client.encrypted.key.cache.expiry,0
hadoop,hadoop.security.kms.client.encrypted.key.cache.expiry,YYY
hadoop,hadoop.caller.context.max.size,-1
hadoop,hadoop.caller.context.max.size,0
hadoop,hadoop.caller.context.max.size,1.5
hadoop,net.topology.script.file.name,0.5
hadoop,net.topology.script.file.name,1000
hadoop,net.topology.script.file.name,myfile
hadoop,fs.df.interval,-1
hadoop,fs.df.interval,0.5
hadoop,fs.df.interval,ABC
hadoop,hadoop.caller.context.signature.max.size,0
hadoop,hadoop.caller.context.signature.max.size,0.5
hadoop,hadoop.caller.context.signature.max.size,ABC
hadoop,hadoop.security.random.device.file.path,/path/to/invalid/file
hadoop,hadoop.security.random.device.file.path,TRUE
hadoop,hadoop.security.random.device.file.path,bogus
hadoop,hadoop.security.crypto.cipher.suite,/
hadoop,hadoop.security.crypto.cipher.suite,AES/CTR/NoPaddin
hadoop,hadoop.security.crypto.cipher.suite,AES/SAM/NoPadding
hadoop,hadoop.rpc.socket.factory.class.default,123
hadoop,hadoop.rpc.socket.factory.class.default,asd
hadoop,hadoop.rpc.socket.factory.class.default,org.apache.hadoop.security.ssl.FileBasedKeyStoresFactory
hadoop,hadoop.http.filter.initializers,1
hadoop,hadoop.http.filter.initializers,TRUE
hadoop,hadoop.http.filter.initializers,bogus
hadoop,hadoop.security.kms.client.encrypted.key.cache.size,-500
hadoop,hadoop.security.kms.client.encrypted.key.cache.size,500.5
hadoop,hadoop.security.kms.client.encrypted.key.cache.size,ABC
hadoop,fs.trash.checkpoint.interval,-1
hadoop,fs.trash.checkpoint.interval,0.5
hadoop,fs.trash.checkpoint.interval,ABC
hadoop,hadoop.security.sensitive-config-keys,***
hadoop,hadoop.security.sensitive-config-keys,123
hadoop,hadoop.security.sensitive-config-keys,helloworld
hadoop,ipc.client.idlethreshold,-4000
hadoop,ipc.client.idlethreshold,2000000000
hadoop,ipc.client.idlethreshold,4000.5
hadoop,fs.viewfs.rename.strategy,1
hadoop,fs.viewfs.rename.strategy,TRUE
hadoop,fs.viewfs.rename.strategy,bogus
hadoop,ha.failover-controller.cli-check.rpc-timeout.ms,-1
