project,config,erroneous_value
hbase,hbase.snapshot.master.timeout.millis,-100
hbase,hbase.snapshot.master.timeout.millis,0
hbase,hbase.snapshot.master.timeout.millis,ABC
hbase,hbase.wal.dir.perms,-100
hbase,hbase.wal.dir.perms,000
hbase,hbase.wal.dir.perms,800
hbase,hbase.cells.scanned.per.heartbeat.check,-100
hbase,hbase.cells.scanned.per.heartbeat.check,9223372036854775808
hbase,hbase.cells.scanned.per.heartbeat.check,ABC
hbase,hbase.lease.recovery.timeout,-100
hbase,hbase.lease.recovery.timeout,0
hbase,hbase.lease.recovery.timeout,ABC
hbase,hbase.rootdir,${hello}
hbase,hbase.rootdir,12345
hbase,hbase.rootdir,hdfs://namenode.example.org:9000/hbase
hbase,hbase.regionserver.global.memstore.size.lower.limit,-1
hbase,hbase.regionserver.global.memstore.size.lower.limit,0.0f
hbase,hbase.regionserver.global.memstore.size.lower.limit,1.1f
hbase,hbase.hstore.compaction.max,-100
hbase,hbase.hstore.compaction.max,2147483648
hbase,hbase.hstore.compaction.max,ABC
hbase,hbase.status.multicast.address.ip,0
hbase,hbase.status.multicast.address.ip,127.0.0.1
hbase,hbase.status.multicast.address.ip,ABC
hbase,hbase.regionserver.thread.compaction.throttle,-100
hbase,hbase.regionserver.thread.compaction.throttle,9223372036854775808
hbase,hbase.regionserver.thread.compaction.throttle,ABC
hbase,hbase.ipc.server.callqueue.read.ratio,-0.1
hbase,hbase.ipc.server.callqueue.read.ratio,123
hbase,hbase.ipc.server.callqueue.read.ratio,ABC
hbase,hbase.master.mob.ttl.cleaner.period,-0.1
hbase,hbase.master.mob.ttl.cleaner.period,2147483648
hbase,hbase.master.mob.ttl.cleaner.period,ABC
hbase,hbase.superuser,123
hbase,hbase.superuser,xudong
hbase,hbase.superuser,"xudong,sam,jack"
hbase,hbase.regionserver.logroll.period,-100
hbase,hbase.regionserver.logroll.period,9.22337203685478E+018
hbase,hbase.regionserver.logroll.period,9223372036854775808
hbase,hbase.regionserver.logroll.period,ABC
hbase,hbase.master.logcleaner.ttl,-100
hbase,hbase.master.logcleaner.ttl,9223372036854775808
hbase,hbase.master.logcleaner.ttl,ABC
hbase,hbase.mob.compaction.threads.max,-100
hbase,hbase.mob.compaction.threads.max,2147483648
hbase,hbase.mob.compaction.threads.max,ABC
hbase,hbase.status.multicast.address.port,-100
hbase,hbase.status.multicast.address.port,2147483648
hbase,hbase.status.multicast.address.port,ABC
hbase,hbase.master.normalizer.class,-100
hbase,hbase.master.normalizer.class,ABC
hbase,hbase.master.normalizer.class,org.apache.hadoop.hbase.master.normalizer.SimpleRegionHHH
hbase,hbase.master.port,-100
hbase,hbase.master.port,2147483648
hbase,hbase.master.port,ABC
hbase,hbase.status.publisher.class,-100
hbase,hbase.status.publisher.class,ABC
hbase,hbase.status.publisher.class,org.apache.hadoop.hbase.master.ClusterStatusPublisher$Publisher
hbase,hbase.server.compactchecker.interval.multiplier,-100
hbase,hbase.server.compactchecker.interval.multiplier,2147483648
hbase,hbase.server.compactchecker.interval.multiplier,ABC
hbase,hbase.regionserver.info.port,-100
hbase,hbase.regionserver.info.port,2147483648
hbase,hbase.regionserver.info.port,ABC
hbase,hbase.server.versionfile.writeattempts,-100
