project,config,erroneous_value
hdfs,dfs.namenode.shared.edits.dir,-100
hdfs,dfs.namenode.shared.edits.dir,0.05
hdfs,dfs.namenode.shared.edits.dir,ABC
hdfs,dfs.datanode.dns.interface,-100
hdfs,dfs.datanode.dns.interface,0.05
hdfs,dfs.datanode.dns.interface,ABC
hdfs,dfs.namenode.https-address,0.0.0:50470
hdfs,dfs.namenode.https-address,0.05
hdfs,dfs.namenode.https-address,ABC
hdfs,dfs.client.block.write.replace-datanode-on-failure.policy,-100
hdfs,dfs.client.block.write.replace-datanode-on-failure.policy,0.05
hdfs,dfs.client.block.write.replace-datanode-on-failure.policy,ABC
hdfs,dfs.datanode.transfer.socket.recv.buffer.size,0.05
hdfs,dfs.datanode.transfer.socket.recv.buffer.size,ABC
hdfs,dfs.cachereport.intervalMsec,-100
hdfs,dfs.cachereport.intervalMsec,0.05
hdfs,dfs.cachereport.intervalMsec,ABC
hdfs,dfs.namenode.decommission.blocks.per.interval,-100
hdfs,dfs.namenode.decommission.blocks.per.interval,0.05
hdfs,dfs.namenode.decommission.blocks.per.interval,ABC
hdfs,dfs.client-write-packet-size,-100
hdfs,dfs.client-write-packet-size,0.05
hdfs,dfs.client-write-packet-size,ABC
hdfs,dfs.client.block.write.retries,-100
hdfs,dfs.client.block.write.retries,0.05
hdfs,dfs.client.block.write.retries,ABC
hdfs,dfs.namenode.replication.interval,-100
hdfs,dfs.namenode.replication.interval,0.05
hdfs,dfs.namenode.replication.interval,ABC
hdfs,dfs.namenode.heartbeat.recheck-interval,-100
hdfs,dfs.namenode.heartbeat.recheck-interval,0.05
hdfs,dfs.namenode.heartbeat.recheck-interval,ABC
hdfs,dfs.namenode.checkpoint.check.period,-100
hdfs,dfs.namenode.checkpoint.check.period,0.05
hdfs,dfs.namenode.checkpoint.check.period,ABC
hdfs,dfs.namenode.resource.du.reserved,-100
hdfs,dfs.namenode.resource.du.reserved,0.05
hdfs,dfs.namenode.resource.du.reserved,ABC
hdfs,dfs.namenode.delegation.token.max-lifetime,-100
hdfs,dfs.namenode.delegation.token.max-lifetime,0.05
hdfs,dfs.namenode.delegation.token.max-lifetime,ABC
hdfs,dfs.namenode.accesstime.precision,-100
hdfs,dfs.namenode.accesstime.precision,0.05
hdfs,dfs.namenode.accesstime.precision,ABC
hdfs,dfs.image.transfer.timeout,-100
hdfs,dfs.image.transfer.timeout,0.05
hdfs,dfs.image.transfer.timeout,ABC
hdfs,dfs.webhdfs.socket.connect-timeout,-1
hdfs,dfs.webhdfs.socket.connect-timeout,0
hdfs,dfs.webhdfs.socket.connect-timeout,1sxd
hdfs,dfs.datanode.dns.nameserver,172.22.158.134
hdfs,dfs.datanode.dns.nameserver,999.999.999.999
hdfs,dfs.datanode.dns.nameserver,sxd
hdfs,dfs.namenode.top.windows.minutes,"-1,0,2"
hdfs,dfs.namenode.top.windows.minutes,123.456
hdfs,dfs.namenode.top.windows.minutes,sxd
hdfs,dfs.namenode.audit.loggers,12345
