project,config,erroneous_value
zookeeper,dataDir,/zkdata1
zookeeper,dataDir,/zkdata2
zookeeper,dataDir,/zkdata3
zookeeper,dataLogDir,/zklog1
zookeeper,dataLogDir,/zklog2
zookeeper,dataLogDir,/zklog3
zookeeper,clientPort,-100
zookeeper,clientPort,0.05
zookeeper,clientPort,2147483648
zookeeper,localSessionsEnabled,-100
zookeeper,localSessionsEnabled,0.05
zookeeper,localSessionsEnabled,ABC
zookeeper,localSessionsUpgradingEnabled,-100
zookeeper,localSessionsUpgradingEnabled,0.05
zookeeper,localSessionsUpgradingEnabled,ABC
zookeeper,clientPortAddress,-100
zookeeper,clientPortAddress,0.05
zookeeper,clientPortAddress,128.128.0.0
zookeeper,secureClientPort,-100
zookeeper,secureClientPort,0.05
zookeeper,secureClientPort,2147483648
zookeeper,secureClientPortAddress,-100
zookeeper,secureClientPortAddress,0.05
zookeeper,secureClientPortAddress,128.128.0.0
zookeeper,tickTime,-100
zookeeper,tickTime,0.05
zookeeper,tickTime,2147483648
zookeeper,maxClientCnxns,-100
zookeeper,maxClientCnxns,0.05
zookeeper,maxClientCnxns,2147483648
zookeeper,minSessionTimeout,-100
zookeeper,minSessionTimeout,0.05
zookeeper,minSessionTimeout,2147483648
zookeeper,maxSessionTimeout,-100
zookeeper,maxSessionTimeout,0.05
zookeeper,maxSessionTimeout,2147483648
zookeeper,initLimit,-100
zookeeper,initLimit,0.05
zookeeper,initLimit,2147483648
zookeeper,syncLimit,-100
zookeeper,syncLimit,0.05
zookeeper,syncLimit,2147483648
zookeeper,electionAlg,-100
zookeeper,electionAlg,0.05
zookeeper,electionAlg,2147483648
zookeeper,quorumListenOnAllIPs,-100
zookeeper,quorumListenOnAllIPs,0.05
zookeeper,quorumListenOnAllIPs,ABC
zookeeper,peerType,-100
zookeeper,peerType,0.05
zookeeper,peerType,ABC
zookeeper,syncEnabled,-100
zookeeper,syncEnabled,0.05
zookeeper,syncEnabled,ABC
zookeeper,autopurge.snapRetainCount,-100
zookeeper,autopurge.snapRetainCount,0.05
zookeeper,autopurge.snapRetainCount,2147483648
zookeeper,autopurge.purgeInterval,-100
zookeeper,autopurge.purgeInterval,0.05
zookeeper,autopurge.purgeInterval,2147483648
zookeeper,standaloneEnabled,-100
zookeeper,standaloneEnabled,0.05
zookeeper,standaloneEnabled,ABC
zookeeper,reconfigEnabled,-100
zookeeper,reconfigEnabled,0.05
zookeeper,reconfigEnabled,ABC
zookeeper,sslQuorum,-100
zookeeper,sslQuorum,0.05
zookeeper,sslQuorum,ABC
zookeeper,portUnification,-100
zookeeper,portUnification,0.05
zookeeper,portUnification,ABC
zookeeper,sslQuorumReloadCertFiles,-100
zookeeper,sslQuorumReloadCertFiles,0.05
zookeeper,sslQuorumReloadCertFiles,ABC
zookeeper,quorum.auth.enableSasl,-100
zookeeper,quorum.auth.enableSasl,0.05
zookeeper,quorum.auth.enableSasl,ABC
zookeeper,quorum.auth.serverRequireSasl,-100
zookeeper,quorum.auth.serverRequireSasl,0.05
zookeeper,quorum.auth.serverRequireSasl,ABC
zookeeper,quorum.auth.learnerRequireSasl,-100
zookeeper,quorum.auth.learnerRequireSasl,0.05
zookeeper,quorum.auth.learnerRequireSasl,ABC
zookeeper,quorum.auth.learner.saslLoginContext,",,,"
zookeeper,quorum.auth.learner.saslLoginContext,123
zookeeper,quorum.auth.learner.saslLoginContext,QuorumServer
zookeeper,quorum.auth.server.saslLoginContext,",,,"
zookeeper,quorum.auth.server.saslLoginContext,123
zookeeper,quorum.auth.server.saslLoginContext,QuorumLearner
zookeeper,quorum.auth.kerberos.servicePrincipal,-100
zookeeper,quorum.auth.kerberos.servicePrincipal,0.05
zookeeper,quorum.auth.kerberos.servicePrincipal,ABC
zookeeper,quorum.cnxn.threads.size,-100
zookeeper,quorum.cnxn.threads.size,0.05
zookeeper,quorum.cnxn.threads.size,2147483648
